"","Sampling.Unit.Name","Date","Aplopelia larvata","Atilax paludinosus","Bdeogale crassicauda","Cephalophus harveyi","Cephalophus spadix","Cercocebus sanjei","Cercopithecus mitis","Civettictis civetta","Colobus angolensis","Cricetomys gambianus","Dendrohyrax arboreus","Francolinus squamatus","Genetta servalina","Guttera pucherani","Hystrix africaeaustralis","Loxodonta africana","Mellivora capensis","Mungos mungo","Nandinia binotata","Nesotragus moschatus","Panthera pardus","Papio cynocephalus","Paraxerus vexillarius","Petrodromus tetradactylus","Potamochoerus larvatus","Procolobus gordonorum","Rhynchocyon cirnei","Rhynchocyon udzungwensis","Syncerus caffer","Turtur tympanistria","Xenoperdix udzungwensis"
"112","CT-UDZ-1-04","2009-08-02",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","CT-UDZ-1-04","2009-08-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","CT-UDZ-1-04","2009-08-04",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","CT-UDZ-1-04","2009-08-05",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"116","CT-UDZ-1-04","2009-08-06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","CT-UDZ-1-04","2009-08-07",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"118","CT-UDZ-1-04","2009-08-08",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","CT-UDZ-1-04","2009-08-09",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","CT-UDZ-1-04","2009-08-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","CT-UDZ-1-04","2009-08-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"122","CT-UDZ-1-04","2009-08-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"123","CT-UDZ-1-04","2009-08-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","CT-UDZ-1-04","2009-08-14",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","CT-UDZ-1-04","2009-08-15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","CT-UDZ-1-04","2009-08-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","CT-UDZ-1-04","2009-08-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","CT-UDZ-1-04","2009-08-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
