C,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note
06280119.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,9:36:57,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280120.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,9:44:02,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280121.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,9:46:27,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280122.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,9:52:36,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280123.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,9:58:16,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280124.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,9:59:09,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280125.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,9:59:42,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280126.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:08:50,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280127.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:11:01,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280128.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:12:40,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280129.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,28-Jun-21,10:17:07,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
